epoch: 15700, KL = 0.1274, logLKH = -4.4221, prob_sum = 0.2180, lr = 0.0024694
epoch: 15800, KL = 0.1254, logLKH = -4.3948, prob_sum = 0.2048, lr = 0.0024690
epoch: 15900, KL = 0.1265, logLKH = -4.4101, prob_sum = 0.2066, lr = 0.0024686
epoch: 16000, KL = 0.1241, logLKH = -4.3758, prob_sum = 0.2073, lr = 0.0024682
epoch: 16100, KL = 0.1331, logLKH = -4.5018, prob_sum = 0.2052, lr = 0.0024678
epoch: 16200, KL = 0.1278, logLKH = -4.4280, prob_sum = 0.2092, lr = 0.0024674
epoch: 16300, KL = 0.1273, logLKH = -4.4208, prob_sum = 0.2128, lr = 0.0024670
epoch: 16400, KL = 0.1255, logLKH = -4.3958, prob_sum = 0.2266, lr = 0.0024666
epoch: 16500, KL = 0.1283, logLKH = -4.4346, prob_sum = 0.2282, lr = 0.0024662
epoch: 16600, KL = 0.1230, logLKH = -4.3606, prob_sum = 0.2247, lr = 0.0024658
epoch: 16700, KL = 0.1267, logLKH = -4.4132, prob_sum = 0.2287, lr = 0.0024654
epoch: 16800, KL = 0.1230, logLKH = -4.3615, prob_sum = 0.2239, lr = 0.0024650
epoch: 16900, KL = 0.1214, logLKH = -4.3393, prob_sum = 0.2216, lr = 0.0024646
epoch: 17000, KL = 0.1254, logLKH = -4.3946, prob_sum = 0.2292, lr = 0.0024641
epoch: 17100, KL = 0.1198, logLKH = -4.3167, prob_sum = 0.2254, lr = 0.0024637
epoch: 17200, KL = 0.1163, logLKH = -4.2675, prob_sum = 0.2235, lr = 0.0024633
epoch: 17300, KL = 0.1254, logLKH = -4.3943, prob_sum = 0.2291, lr = 0.0024629
epoch: 17400, KL = 0.1233, logLKH = -4.3646, prob_sum = 0.2193, lr = 0.0024624
epoch: 17500, KL = 0.1176, logLKH = -4.2854, prob_sum = 0.2193, lr = 0.0024620
epoch: 17600, KL = 0.1208, logLKH = -4.3298, prob_sum = 0.2211, lr = 0.0024616
epoch: 17700, KL = 0.1151, logLKH = -4.2502, prob_sum = 0.2140, lr = 0.0024611
epoch: 17800, KL = 0.1207, logLKH = -4.3291, prob_sum = 0.2147, lr = 0.0024607
epoch: 17900, KL = 0.1178, logLKH = -4.2880, prob_sum = 0.2270, lr = 0.0024603
epoch: 18000, KL = 0.1137, logLKH = -4.2305, prob_sum = 0.2332, lr = 0.0024598
epoch: 18100, KL = 0.1149, logLKH = -4.2479, prob_sum = 0.2303, lr = 0.0024594
epoch: 18200, KL = 0.1176, logLKH = -4.2848, prob_sum = 0.2314, lr = 0.0024589
epoch: 18300, KL = 0.1132, logLKH = -4.2244, prob_sum = 0.2265, lr = 0.0024585
epoch: 18400, KL = 0.1121, logLKH = -4.2091, prob_sum = 0.2285, lr = 0.0024580
epoch: 18500, KL = 0.1149, logLKH = -4.2481, prob_sum = 0.2400, lr = 0.0024576
epoch: 18600, KL = 0.1158, logLKH = -4.2598, prob_sum = 0.2439, lr = 0.0024571
epoch: 18700, KL = 0.1239, logLKH = -4.3737, prob_sum = 0.2413, lr = 0.0024567
epoch: 18800, KL = 0.1175, logLKH = -4.2835, prob_sum = 0.2390, lr = 0.0024562
epoch: 18900, KL = 0.1109, logLKH = -4.1921, prob_sum = 0.2357, lr = 0.0024557
epoch: 19000, KL = 0.1108, logLKH = -4.1902, prob_sum = 0.2365, lr = 0.0024553
epoch: 19100, KL = 0.1166, logLKH = -4.2715, prob_sum = 0.2327, lr = 0.0024548
epoch: 19200, KL = 0.1144, logLKH = -4.2413, prob_sum = 0.2356, lr = 0.0024543
epoch: 19300, KL = 0.1078, logLKH = -4.1476, prob_sum = 0.2421, lr = 0.0024539
epoch: 19400, KL = 0.1144, logLKH = -4.2409, prob_sum = 0.2463, lr = 0.0024534
epoch: 19500, KL = 0.1115, logLKH = -4.2003, prob_sum = 0.2543, lr = 0.0024529
epoch: 19600, KL = 0.1085, logLKH = -4.1586, prob_sum = 0.2543, lr = 0.0024524
epoch: 19700, KL = 0.1124, logLKH = -4.2122, prob_sum = 0.2535, lr = 0.0024520
epoch: 19800, KL = 0.1168, logLKH = -4.2747, prob_sum = 0.2561, lr = 0.0024515
epoch: 19900, KL = 0.1130, logLKH = -4.2216, prob_sum = 0.2516, lr = 0.0024510
epoch: 20000, KL = 0.1068, logLKH = -4.1348, prob_sum = 0.2519, lr = 0.0024505
epoch: 20100, KL = 0.1077, logLKH = -4.1471, prob_sum = 0.2502, lr = 0.0024500
epoch: 20200, KL = 0.1114, logLKH = -4.1987, prob_sum = 0.2494, lr = 0.0024495
epoch: 20300, KL = 0.1088, logLKH = -4.1616, prob_sum = 0.2493, lr = 0.0024490
epoch: 20400, KL = 0.1087, logLKH = -4.1607, prob_sum = 0.2493, lr = 0.0024485
epoch: 20500, KL = 0.1042, logLKH = -4.0975, prob_sum = 0.2467, lr = 0.0024480
epoch: 20600, KL = 0.1092, logLKH = -4.1672, prob_sum = 0.2637, lr = 0.0024475
epoch: 20700, KL = 0.1059, logLKH = -4.1215, prob_sum = 0.2692, lr = 0.0024470
epoch: 20800, KL = 0.1046, logLKH = -4.1030, prob_sum = 0.2681, lr = 0.0024465
epoch: 20900, KL = 0.1025, logLKH = -4.0744, prob_sum = 0.2699, lr = 0.0024460
epoch: 21000, KL = 0.1004, logLKH = -4.0450, prob_sum = 0.2633, lr = 0.0024455
epoch: 21100, KL = 0.1041, logLKH = -4.0965, prob_sum = 0.2828, lr = 0.0024450
epoch: 21200, KL = 0.1007, logLKH = -4.0485, prob_sum = 0.2731, lr = 0.0024444
epoch: 21300, KL = 0.1039, logLKH = -4.0937, prob_sum = 0.2810, lr = 0.0024439
epoch: 21400, KL = 0.1013, logLKH = -4.0568, prob_sum = 0.2775, lr = 0.0024434
epoch: 21500, KL = 0.0984, logLKH = -4.0165, prob_sum = 0.2691, lr = 0.0024429
epoch: 21600, KL = 0.1020, logLKH = -4.0669, prob_sum = 0.2810, lr = 0.0024424
epoch: 21700, KL = 0.1111, logLKH = -4.1938, prob_sum = 0.2871, lr = 0.0024418
epoch: 21800, KL = 0.1030, logLKH = -4.0804, prob_sum = 0.2958, lr = 0.0024413
epoch: 21900, KL = 0.0981, logLKH = -4.0131, prob_sum = 0.2714, lr = 0.0024408
epoch: 22000, KL = 0.1026, logLKH = -4.0751, prob_sum = 0.2865, lr = 0.0024402
epoch: 22100, KL = 0.1100, logLKH = -4.1796, prob_sum = 0.2893, lr = 0.0024397
epoch: 22200, KL = 0.1014, logLKH = -4.0583, prob_sum = 0.2783, lr = 0.0024392
epoch: 22300, KL = 0.1038, logLKH = -4.0924, prob_sum = 0.2968, lr = 0.0024386
epoch: 22400, KL = 0.1094, logLKH = -4.1703, prob_sum = 0.2974, lr = 0.0024381
epoch: 22500, KL = 0.0987, logLKH = -4.0207, prob_sum = 0.2939, lr = 0.0024375
epoch: 22600, KL = 0.0970, logLKH = -3.9977, prob_sum = 0.2965, lr = 0.0024370
epoch: 22700, KL = 0.1012, logLKH = -4.0558, prob_sum = 0.2987, lr = 0.0024364
epoch: 22800, KL = 0.0983, logLKH = -4.0152, prob_sum = 0.2821, lr = 0.0024359
epoch: 22900, KL = 0.0947, logLKH = -3.9652, prob_sum = 0.2860, lr = 0.0024353
