epoch 19900: KL = 0.1195, logLKH = -4.3117, prob_sum = 0.2029, lr = 0.0020000
epoch 20000: KL = 0.1189, logLKH = -4.3034, prob_sum = 0.2021, lr = 0.0020000
epoch 20100: KL = 0.1189, logLKH = -4.3035, prob_sum = 0.2062, lr = 0.0020000
epoch 20200: KL = 0.1183, logLKH = -4.2954, prob_sum = 0.2054, lr = 0.0020000
epoch 20300: KL = 0.1178, logLKH = -4.2885, prob_sum = 0.2070, lr = 0.0020000
epoch 20400: KL = 0.1175, logLKH = -4.2840, prob_sum = 0.2064, lr = 0.0020000
epoch 20500: KL = 0.1169, logLKH = -4.2762, prob_sum = 0.2066, lr = 0.0020000
epoch 20600: KL = 0.1165, logLKH = -4.2702, prob_sum = 0.2075, lr = 0.0020000
epoch 20700: KL = 0.1162, logLKH = -4.2665, prob_sum = 0.2054, lr = 0.0020000
epoch 20800: KL = 0.1157, logLKH = -4.2595, prob_sum = 0.2096, lr = 0.0020000
epoch 20900: KL = 0.1154, logLKH = -4.2553, prob_sum = 0.2125, lr = 0.0020000
epoch 21000: KL = 0.1156, logLKH = -4.2573, prob_sum = 0.2135, lr = 0.0020000
epoch 21100: KL = 0.1146, logLKH = -4.2432, prob_sum = 0.2129, lr = 0.0020000
epoch 21200: KL = 0.1144, logLKH = -4.2409, prob_sum = 0.2136, lr = 0.0020000
epoch 21300: KL = 0.1140, logLKH = -4.2345, prob_sum = 0.2114, lr = 0.0020000
epoch 21400: KL = 0.1137, logLKH = -4.2314, prob_sum = 0.2127, lr = 0.0020000
epoch 21500: KL = 0.1130, logLKH = -4.2214, prob_sum = 0.2158, lr = 0.0020000
epoch 21600: KL = 0.1126, logLKH = -4.2159, prob_sum = 0.2194, lr = 0.0020000
epoch 21700: KL = 0.1124, logLKH = -4.2131, prob_sum = 0.2219, lr = 0.0020000
epoch 21800: KL = 0.1124, logLKH = -4.2123, prob_sum = 0.2241, lr = 0.0020000
epoch 21900: KL = 0.1117, logLKH = -4.2023, prob_sum = 0.2221, lr = 0.0020000
epoch 22000: KL = 0.1113, logLKH = -4.1976, prob_sum = 0.2253, lr = 0.0020000
epoch 22100: KL = 0.1111, logLKH = -4.1949, prob_sum = 0.2273, lr = 0.0020000
epoch 22200: KL = 0.1110, logLKH = -4.1926, prob_sum = 0.2284, lr = 0.0020000
epoch 22300: KL = 0.1103, logLKH = -4.1835, prob_sum = 0.2285, lr = 0.0020000
epoch 22400: KL = 0.1097, logLKH = -4.1749, prob_sum = 0.2269, lr = 0.0020000
epoch 22500: KL = 0.1093, logLKH = -4.1688, prob_sum = 0.2281, lr = 0.0020000
epoch 22600: KL = 0.1089, logLKH = -4.1632, prob_sum = 0.2299, lr = 0.0020000
epoch 22700: KL = 0.1086, logLKH = -4.1589, prob_sum = 0.2311, lr = 0.0020000
epoch 22800: KL = 0.1082, logLKH = -4.1543, prob_sum = 0.2330, lr = 0.0020000
epoch 22900: KL = 0.1084, logLKH = -4.1570, prob_sum = 0.2343, lr = 0.0020000
epoch 23000: KL = 0.1079, logLKH = -4.1491, prob_sum = 0.2332, lr = 0.0020000
epoch 23100: KL = 0.1070, logLKH = -4.1374, prob_sum = 0.2343, lr = 0.0020000
epoch 23200: KL = 0.1067, logLKH = -4.1322, prob_sum = 0.2386, lr = 0.0020000
epoch 23300: KL = 0.1064, logLKH = -4.1283, prob_sum = 0.2389, lr = 0.0020000
epoch 23400: KL = 0.1065, logLKH = -4.1298, prob_sum = 0.2394, lr = 0.0020000
epoch 23500: KL = 0.1063, logLKH = -4.1276, prob_sum = 0.2408, lr = 0.0020000
epoch 23600: KL = 0.1055, logLKH = -4.1165, prob_sum = 0.2374, lr = 0.0020000
epoch 23700: KL = 0.1048, logLKH = -4.1068, prob_sum = 0.2429, lr = 0.0020000
epoch 23800: KL = 0.1044, logLKH = -4.1001, prob_sum = 0.2444, lr = 0.0020000
epoch 23900: KL = 0.1041, logLKH = -4.0967, prob_sum = 0.2451, lr = 0.0020000
epoch 24000: KL = 0.1039, logLKH = -4.0937, prob_sum = 0.2479, lr = 0.0020000
epoch 24100: KL = 0.1036, logLKH = -4.0890, prob_sum = 0.2479, lr = 0.0020000
epoch 24200: KL = 0.1035, logLKH = -4.0884, prob_sum = 0.2471, lr = 0.0020000
epoch 24300: KL = 0.1028, logLKH = -4.0788, prob_sum = 0.2493, lr = 0.0020000
epoch 24400: KL = 0.1022, logLKH = -4.0703, prob_sum = 0.2510, lr = 0.0020000
epoch 24500: KL = 0.1021, logLKH = -4.0690, prob_sum = 0.2512, lr = 0.0020000
epoch 24600: KL = 0.1017, logLKH = -4.0624, prob_sum = 0.2522, lr = 0.0020000
epoch 24700: KL = 0.1017, logLKH = -4.0631, prob_sum = 0.2537, lr = 0.0020000
epoch 24800: KL = 0.1012, logLKH = -4.0559, prob_sum = 0.2535, lr = 0.0020000
epoch 24900: KL = 0.1013, logLKH = -4.0573, prob_sum = 0.2557, lr = 0.0020000
epoch 25000: KL = 0.1004, logLKH = -4.0442, prob_sum = 0.2574, lr = 0.0020000
epoch 25100: KL = 0.1004, logLKH = -4.0443, prob_sum = 0.2619, lr = 0.0020000
epoch 25200: KL = 0.0997, logLKH = -4.0349, prob_sum = 0.2613, lr = 0.0020000
epoch 25300: KL = 0.0994, logLKH = -4.0312, prob_sum = 0.2634, lr = 0.0020000
epoch 25400: KL = 0.0988, logLKH = -4.0217, prob_sum = 0.2619, lr = 0.0020000
epoch 25500: KL = 0.0989, logLKH = -4.0236, prob_sum = 0.2606, lr = 0.0020000
epoch 25600: KL = 0.0982, logLKH = -4.0132, prob_sum = 0.2632, lr = 0.0020000
epoch 25700: KL = 0.0978, logLKH = -4.0089, prob_sum = 0.2631, lr = 0.0020000
epoch 25800: KL = 0.0975, logLKH = -4.0034, prob_sum = 0.2647, lr = 0.0020000
epoch 25900: KL = 0.0971, logLKH = -3.9983, prob_sum = 0.2663, lr = 0.0020000
epoch 26000: KL = 0.0968, logLKH = -3.9944, prob_sum = 0.2683, lr = 0.0020000
