epoch 12600: KL = 0.0530, logLKH = -3.3807, prob_sum = 0.4859, lr = 0.0250000
epoch 12700: KL = 0.0514, logLKH = -3.3593, prob_sum = 0.4879, lr = 0.0250000
epoch 12800: KL = 0.0519, logLKH = -3.3660, prob_sum = 0.4911, lr = 0.0250000
epoch 12900: KL = 0.0517, logLKH = -3.3623, prob_sum = 0.4905, lr = 0.0250000
epoch 13000: KL = 0.0518, logLKH = -3.3644, prob_sum = 0.4936, lr = 0.0250000
epoch 13100: KL = 0.0513, logLKH = -3.3576, prob_sum = 0.4938, lr = 0.0250000
epoch 13200: KL = 0.0522, logLKH = -3.3703, prob_sum = 0.4933, lr = 0.0250000
epoch 13300: KL = 0.0504, logLKH = -3.3444, prob_sum = 0.4971, lr = 0.0250000
epoch 13400: KL = 0.0504, logLKH = -3.3453, prob_sum = 0.4976, lr = 0.0250000
epoch 13500: KL = 0.0506, logLKH = -3.3477, prob_sum = 0.4998, lr = 0.0250000
epoch 13600: KL = 0.0518, logLKH = -3.3644, prob_sum = 0.5029, lr = 0.0250000
epoch 13700: KL = 0.0500, logLKH = -3.3395, prob_sum = 0.5034, lr = 0.0250000
epoch 13800: KL = 0.0497, logLKH = -3.3342, prob_sum = 0.5055, lr = 0.0250000
epoch 13900: KL = 0.0493, logLKH = -3.3290, prob_sum = 0.5085, lr = 0.0250000
epoch 14000: KL = 0.0500, logLKH = -3.3389, prob_sum = 0.5086, lr = 0.0250000
epoch 14100: KL = 0.0493, logLKH = -3.3287, prob_sum = 0.5102, lr = 0.0250000
epoch 14200: KL = 0.0491, logLKH = -3.3259, prob_sum = 0.5111, lr = 0.0250000
epoch 14300: KL = 0.0489, logLKH = -3.3237, prob_sum = 0.5114, lr = 0.0250000
epoch 14400: KL = 0.0480, logLKH = -3.3117, prob_sum = 0.5147, lr = 0.0250000
epoch 14500: KL = 0.0476, logLKH = -3.3058, prob_sum = 0.5163, lr = 0.0250000
epoch 14600: KL = 0.0476, logLKH = -3.3054, prob_sum = 0.5175, lr = 0.0250000
epoch 14700: KL = 0.0474, logLKH = -3.3031, prob_sum = 0.5183, lr = 0.0250000
epoch 14800: KL = 0.0473, logLKH = -3.3006, prob_sum = 0.5192, lr = 0.0250000
epoch 14900: KL = 0.0472, logLKH = -3.3004, prob_sum = 0.5203, lr = 0.0250000
epoch 15000: KL = 0.0478, logLKH = -3.3089, prob_sum = 0.5220, lr = 0.0250000
epoch 15100: KL = 0.0481, logLKH = -3.3120, prob_sum = 0.5230, lr = 0.0250000
epoch 15200: KL = 0.0477, logLKH = -3.3074, prob_sum = 0.5265, lr = 0.0250000
epoch 15300: KL = 0.0469, logLKH = -3.2952, prob_sum = 0.5243, lr = 0.0250000
epoch 15400: KL = 0.0473, logLKH = -3.3019, prob_sum = 0.5297, lr = 0.0250000
epoch 15500: KL = 0.0463, logLKH = -3.2872, prob_sum = 0.5292, lr = 0.0250000
epoch 15600: KL = 0.0459, logLKH = -3.2823, prob_sum = 0.5311, lr = 0.0250000
epoch 15700: KL = 0.0459, logLKH = -3.2819, prob_sum = 0.5338, lr = 0.0250000
epoch 15800: KL = 0.0461, logLKH = -3.2852, prob_sum = 0.5310, lr = 0.0250000
epoch 15900: KL = 0.0451, logLKH = -3.2704, prob_sum = 0.5337, lr = 0.0250000
epoch 16000: KL = 0.0450, logLKH = -3.2695, prob_sum = 0.5358, lr = 0.0250000
epoch 16100: KL = 0.0458, logLKH = -3.2809, prob_sum = 0.5406, lr = 0.0250000
epoch 16200: KL = 0.0456, logLKH = -3.2775, prob_sum = 0.5376, lr = 0.0250000
epoch 16300: KL = 0.0444, logLKH = -3.2611, prob_sum = 0.5410, lr = 0.0250000
epoch 16400: KL = 0.0442, logLKH = -3.2580, prob_sum = 0.5407, lr = 0.0250000
epoch 16500: KL = 0.0452, logLKH = -3.2716, prob_sum = 0.5397, lr = 0.0250000
epoch 16600: KL = 0.0446, logLKH = -3.2634, prob_sum = 0.5424, lr = 0.0250000
epoch 16700: KL = 0.0447, logLKH = -3.2652, prob_sum = 0.5448, lr = 0.0250000
epoch 16800: KL = 0.0439, logLKH = -3.2532, prob_sum = 0.5456, lr = 0.0250000
epoch 16900: KL = 0.0435, logLKH = -3.2477, prob_sum = 0.5469, lr = 0.0250000
epoch 17000: KL = 0.0436, logLKH = -3.2488, prob_sum = 0.5473, lr = 0.0250000
epoch 17100: KL = 0.0432, logLKH = -3.2436, prob_sum = 0.5489, lr = 0.0250000
epoch 17200: KL = 0.0433, logLKH = -3.2447, prob_sum = 0.5506, lr = 0.0250000
epoch 17300: KL = 0.0428, logLKH = -3.2383, prob_sum = 0.5507, lr = 0.0250000
epoch 17400: KL = 0.0432, logLKH = -3.2438, prob_sum = 0.5536, lr = 0.0250000
epoch 17500: KL = 0.0436, logLKH = -3.2489, prob_sum = 0.5518, lr = 0.0250000
epoch 17600: KL = 0.0439, logLKH = -3.2537, prob_sum = 0.5559, lr = 0.0250000
epoch 17700: KL = 0.0423, logLKH = -3.2319, prob_sum = 0.5547, lr = 0.0250000
epoch 17800: KL = 0.0437, logLKH = -3.2502, prob_sum = 0.5560, lr = 0.0250000
epoch 17900: KL = 0.0426, logLKH = -3.2354, prob_sum = 0.5557, lr = 0.0250000
epoch 18000: KL = 0.0421, logLKH = -3.2288, prob_sum = 0.5567, lr = 0.0250000
epoch 18100: KL = 0.0424, logLKH = -3.2329, prob_sum = 0.5589, lr = 0.0250000
epoch 18200: KL = 0.0427, logLKH = -3.2374, prob_sum = 0.5597, lr = 0.0250000
epoch 18300: KL = 0.0424, logLKH = -3.2325, prob_sum = 0.5589, lr = 0.0250000
epoch 18400: KL = 0.0415, logLKH = -3.2195, prob_sum = 0.5626, lr = 0.0250000
epoch 18500: KL = 0.0413, logLKH = -3.2172, prob_sum = 0.5630, lr = 0.0250000
epoch 18600: KL = 0.0415, logLKH = -3.2198, prob_sum = 0.5644, lr = 0.0250000
epoch 18700: KL = 0.0418, logLKH = -3.2245, prob_sum = 0.5652, lr = 0.0250000
epoch 18800: KL = 0.0420, logLKH = -3.2272, prob_sum = 0.5636, lr = 0.0250000
epoch 18900: KL = 0.0411, logLKH = -3.2144, prob_sum = 0.5658, lr = 0.0250000
epoch 19000: KL = 0.0414, logLKH = -3.2191, prob_sum = 0.5673, lr = 0.0250000
epoch 19100: KL = 0.0404, logLKH = -3.2049, prob_sum = 0.5689, lr = 0.0250000
epoch 19200: KL = 0.0405, logLKH = -3.2067, prob_sum = 0.5699, lr = 0.0250000
epoch 19300: KL = 0.0405, logLKH = -3.2059, prob_sum = 0.5698, lr = 0.0250000
epoch 19400: KL = 0.0405, logLKH = -3.2058, prob_sum = 0.5696, lr = 0.0250000
epoch 19500: KL = 0.0401, logLKH = -3.2007, prob_sum = 0.5731, lr = 0.0250000
epoch 19600: KL = 0.0403, logLKH = -3.2034, prob_sum = 0.5737, lr = 0.0250000
epoch 19700: KL = 0.0402, logLKH = -3.2016, prob_sum = 0.5754, lr = 0.0250000
epoch 19800: KL = 0.0402, logLKH = -3.2014, prob_sum = 0.5747, lr = 0.0250000
epoch 19900: KL = 0.0400, logLKH = -3.1985, prob_sum = 0.5758, lr = 0.0250000
epoch 20000: KL = 0.0408, logLKH = -3.2106, prob_sum = 0.5778, lr = 0.0250000
epoch 20100: KL = 0.0399, logLKH = -3.1975, prob_sum = 0.5779, lr = 0.0250000
epoch 20200: KL = 0.0392, logLKH = -3.1883, prob_sum = 0.5790, lr = 0.0250000
epoch 20300: KL = 0.0393, logLKH = -3.1893, prob_sum = 0.5793, lr = 0.0250000
epoch 20400: KL = 0.0393, logLKH = -3.1887, prob_sum = 0.5808, lr = 0.0250000
epoch 20500: KL = 0.0390, logLKH = -3.1849, prob_sum = 0.5820, lr = 0.0250000
epoch 20600: KL = 0.0388, logLKH = -3.1829, prob_sum = 0.5837, lr = 0.0250000
epoch 20700: KL = 0.0392, logLKH = -3.1884, prob_sum = 0.5818, lr = 0.0250000
epoch 20800: KL = 0.0391, logLKH = -3.1860, prob_sum = 0.5837, lr = 0.0250000
epoch 20900: KL = 0.0386, logLKH = -3.1799, prob_sum = 0.5840, lr = 0.0250000
epoch 21000: KL = 0.0402, logLKH = -3.2016, prob_sum = 0.5873, lr = 0.0250000
epoch 21100: KL = 0.0385, logLKH = -3.1781, prob_sum = 0.5855, lr = 0.0250000
epoch 21200: KL = 0.0393, logLKH = -3.1899, prob_sum = 0.5860, lr = 0.0250000
epoch 21300: KL = 0.0385, logLKH = -3.1783, prob_sum = 0.5881, lr = 0.0250000
epoch 21400: KL = 0.0387, logLKH = -3.1810, prob_sum = 0.5888, lr = 0.0250000
epoch 21500: KL = 0.0380, logLKH = -3.1716, prob_sum = 0.5920, lr = 0.0250000
epoch 21600: KL = 0.0377, logLKH = -3.1670, prob_sum = 0.5916, lr = 0.0250000
epoch 21700: KL = 0.0384, logLKH = -3.1767, prob_sum = 0.5908, lr = 0.0250000
epoch 21800: KL = 0.0379, logLKH = -3.1695, prob_sum = 0.5936, lr = 0.0250000
epoch 21900: KL = 0.0377, logLKH = -3.1672, prob_sum = 0.5941, lr = 0.0250000
epoch 22000: KL = 0.0376, logLKH = -3.1658, prob_sum = 0.5944, lr = 0.0250000
epoch 22100: KL = 0.0374, logLKH = -3.1627, prob_sum = 0.5966, lr = 0.0250000
epoch 22200: KL = 0.0380, logLKH = -3.1709, prob_sum = 0.5957, lr = 0.0250000
