epoch:128 ==>  KL = [0.21917082], logLKH = [-5.70744882], prob_sum = 0.0562, time = 0.09s
epoch:129 ==>  KL = [0.21821561], logLKH = [-5.69407592], prob_sum = 0.0563, time = 0.10s
epoch:130 ==>  KL = [0.21792766], logLKH = [-5.69004458], prob_sum = 0.0564, time = 0.10s
epoch:131 ==>  KL = [0.2176248], logLKH = [-5.68580446], prob_sum = 0.0568, time = 0.10s
epoch:132 ==>  KL = [0.21766043], logLKH = [-5.68630337], prob_sum = 0.0571, time = 0.10s
epoch:133 ==>  KL = [0.21778063], logLKH = [-5.68798621], prob_sum = 0.0575, time = 0.10s
epoch:134 ==>  KL = [0.21842653], logLKH = [-5.69702879], prob_sum = 0.0580, time = 0.09s
epoch:135 ==>  KL = [0.21895162], logLKH = [-5.70438], prob_sum = 0.0587, time = 0.09s
epoch:136 ==>  KL = [0.21755198], logLKH = [-5.684785], prob_sum = 0.0586, time = 0.09s
epoch:137 ==>  KL = [0.21753223], logLKH = [-5.6845086], prob_sum = 0.0591, time = 0.09s
epoch:138 ==>  KL = [0.21697847], logLKH = [-5.67675587], prob_sum = 0.0593, time = 0.09s
epoch:139 ==>  KL = [0.21601376], logLKH = [-5.66324994], prob_sum = 0.0594, time = 0.09s
epoch:140 ==>  KL = [0.21695913], logLKH = [-5.67648509], prob_sum = 0.0600, time = 0.09s
epoch:141 ==>  KL = [0.21765183], logLKH = [-5.686183], prob_sum = 0.0607, time = 0.09s
epoch:142 ==>  KL = [0.21677835], logLKH = [-5.67395419], prob_sum = 0.0609, time = 0.09s
epoch:143 ==>  KL = [0.21541193], logLKH = [-5.65482431], prob_sum = 0.0611, time = 0.09s
epoch:144 ==>  KL = [0.2155584], logLKH = [-5.65687487], prob_sum = 0.0616, time = 0.09s
epoch:145 ==>  KL = [0.21528079], logLKH = [-5.65298837], prob_sum = 0.0622, time = 0.09s
epoch:146 ==>  KL = [0.2141769], logLKH = [-5.63753386], prob_sum = 0.0623, time = 0.09s
epoch:147 ==>  KL = [0.21272533], logLKH = [-5.617212], prob_sum = 0.0623, time = 0.09s
epoch:148 ==>  KL = [0.21292915], logLKH = [-5.62006541], prob_sum = 0.0629, time = 0.09s
epoch:149 ==>  KL = [0.21237176], logLKH = [-5.61226201], prob_sum = 0.0633, time = 0.09s
epoch:150 ==>  KL = [0.21101502], logLKH = [-5.5932676], prob_sum = 0.0632, time = 0.09s
epoch:151 ==>  KL = [0.21000652], logLKH = [-5.57914864], prob_sum = 0.0635, time = 0.09s
epoch:152 ==>  KL = [0.20978455], logLKH = [-5.57604102], prob_sum = 0.0640, time = 0.09s
epoch:153 ==>  KL = [0.20915514], logLKH = [-5.56722929], prob_sum = 0.0645, time = 0.09s
epoch:154 ==>  KL = [0.20836655], logLKH = [-5.55618908], prob_sum = 0.0647, time = 0.09s
epoch:155 ==>  KL = [0.20803494], logLKH = [-5.55154651], prob_sum = 0.0650, time = 0.09s
epoch:156 ==>  KL = [0.20795428], logLKH = [-5.55041721], prob_sum = 0.0654, time = 0.09s
epoch:157 ==>  KL = [0.20783324], logLKH = [-5.54872271], prob_sum = 0.0657, time = 0.09s
epoch:158 ==>  KL = [0.20684537], logLKH = [-5.53489254], prob_sum = 0.0658, time = 0.09s
epoch:159 ==>  KL = [0.20610056], logLKH = [-5.52446512], prob_sum = 0.0660, time = 0.09s
epoch:160 ==>  KL = [0.2059046], logLKH = [-5.52172179], prob_sum = 0.0662, time = 0.10s
