epoch:96 ==>  KL = [0.79362853], logLKH = [-13.74985681], prob_sum = 0.0006, time = 0.07s
epoch:97 ==>  KL = [0.79211039], logLKH = [-13.72860279], prob_sum = 0.0006, time = 0.07s
epoch:98 ==>  KL = [0.78850463], logLKH = [-13.67812214], prob_sum = 0.0006, time = 0.07s
epoch:99 ==>  KL = [0.78561485], logLKH = [-13.63766525], prob_sum = 0.0006, time = 0.07s
epoch:100 ==>  KL = [0.7828158], logLKH = [-13.59847859], prob_sum = 0.0006, time = 0.07s
epoch:101 ==>  KL = [0.78098095], logLKH = [-13.57279064], prob_sum = 0.0006, time = 0.08s
epoch:102 ==>  KL = [0.77815899], logLKH = [-13.53328322], prob_sum = 0.0007, time = 0.07s
epoch:103 ==>  KL = [0.77576933], logLKH = [-13.49982796], prob_sum = 0.0007, time = 0.07s
epoch:104 ==>  KL = [0.77319728], logLKH = [-13.46381921], prob_sum = 0.0007, time = 0.08s
epoch:105 ==>  KL = [0.77168268], logLKH = [-13.44261485], prob_sum = 0.0007, time = 0.07s
epoch:106 ==>  KL = [0.77008194], logLKH = [-13.42020456], prob_sum = 0.0007, time = 0.07s
epoch:107 ==>  KL = [0.76685506], logLKH = [-13.37502823], prob_sum = 0.0007, time = 0.08s
epoch:108 ==>  KL = [0.76378327], logLKH = [-13.33202313], prob_sum = 0.0007, time = 0.07s
epoch:109 ==>  KL = [0.76041455], logLKH = [-13.28486101], prob_sum = 0.0008, time = 0.07s
epoch:110 ==>  KL = [0.75583907], logLKH = [-13.22080428], prob_sum = 0.0008, time = 0.08s
epoch:111 ==>  KL = [0.75315843], logLKH = [-13.18327529], prob_sum = 0.0008, time = 0.07s
epoch:112 ==>  KL = [0.75143683], logLKH = [-13.15917294], prob_sum = 0.0008, time = 0.07s
epoch:113 ==>  KL = [0.74965166], logLKH = [-13.13418053], prob_sum = 0.0008, time = 0.07s
epoch:114 ==>  KL = [0.74732838], logLKH = [-13.10165461], prob_sum = 0.0008, time = 0.07s
epoch:115 ==>  KL = [0.74496048], logLKH = [-13.06850409], prob_sum = 0.0009, time = 0.07s
