epoch:175 ==>  KL = [0.30950509], logLKH = [-6.97212854], prob_sum = 0.0242, time = 0.05s
epoch:176 ==>  KL = [0.30897153], logLKH = [-6.96465876], prob_sum = 0.0242, time = 0.05s
epoch:177 ==>  KL = [0.30841492], logLKH = [-6.95686615], prob_sum = 0.0242, time = 0.05s
epoch:178 ==>  KL = [0.30790342], logLKH = [-6.94970516], prob_sum = 0.0243, time = 0.05s
epoch:179 ==>  KL = [0.30746436], logLKH = [-6.94355842], prob_sum = 0.0243, time = 0.04s
epoch:180 ==>  KL = [0.30714336], logLKH = [-6.93906431], prob_sum = 0.0243, time = 0.04s
epoch:181 ==>  KL = [0.30674584], logLKH = [-6.93349915], prob_sum = 0.0244, time = 0.05s
epoch:182 ==>  KL = [0.30641742], logLKH = [-6.9289012], prob_sum = 0.0244, time = 0.05s
epoch:183 ==>  KL = [0.30611791], logLKH = [-6.92470809], prob_sum = 0.0245, time = 0.05s
epoch:184 ==>  KL = [0.30577393], logLKH = [-6.91989236], prob_sum = 0.0245, time = 0.04s
epoch:185 ==>  KL = [0.30549358], logLKH = [-6.91596747], prob_sum = 0.0245, time = 0.04s
epoch:186 ==>  KL = [0.3051619], logLKH = [-6.9113239], prob_sum = 0.0246, time = 0.04s
epoch:187 ==>  KL = [0.30477776], logLKH = [-6.90594594], prob_sum = 0.0246, time = 0.05s
epoch:188 ==>  KL = [0.30449654], logLKH = [-6.9020089], prob_sum = 0.0246, time = 0.05s
epoch:189 ==>  KL = [0.30421527], logLKH = [-6.89807111], prob_sum = 0.0246, time = 0.04s
epoch:190 ==>  KL = [0.30379444], logLKH = [-6.89217948], prob_sum = 0.0247, time = 0.04s
epoch:191 ==>  KL = [0.30342748], logLKH = [-6.88704211], prob_sum = 0.0247, time = 0.05s
epoch:192 ==>  KL = [0.30315705], logLKH = [-6.88325601], prob_sum = 0.0248, time = 0.05s
epoch:193 ==>  KL = [0.30283563], logLKH = [-6.87875621], prob_sum = 0.0248, time = 0.05s
epoch:194 ==>  KL = [0.30246001], logLKH = [-6.87349743], prob_sum = 0.0248, time = 0.05s
epoch:195 ==>  KL = [0.30211946], logLKH = [-6.86872984], prob_sum = 0.0249, time = 0.05s
epoch:196 ==>  KL = [0.30175096], logLKH = [-6.86357072], prob_sum = 0.0250, time = 0.05s
epoch:197 ==>  KL = [0.30130004], logLKH = [-6.85725785], prob_sum = 0.0250, time = 0.05s
epoch:198 ==>  KL = [0.30088535], logLKH = [-6.85145217], prob_sum = 0.0251, time = 0.05s
epoch:199 ==>  KL = [0.30053528], logLKH = [-6.84655128], prob_sum = 0.0251, time = 0.04s
epoch:200 ==>  KL = [0.30028411], logLKH = [-6.84303483], prob_sum = 0.0251, time = 0.04s
epoch:201 ==>  KL = [0.29994603], logLKH = [-6.83830181], prob_sum = 0.0252, time = 0.04s
epoch:202 ==>  KL = [0.29955405], logLKH = [-6.83281408], prob_sum = 0.0252, time = 0.05s
epoch:203 ==>  KL = [0.29912191], logLKH = [-6.82676409], prob_sum = 0.0253, time = 0.05s
epoch:204 ==>  KL = [0.29873947], logLKH = [-6.82140986], prob_sum = 0.0254, time = 0.04s
epoch:205 ==>  KL = [0.29837689], logLKH = [-6.81633375], prob_sum = 0.0254, time = 0.04s
epoch:206 ==>  KL = [0.29811865], logLKH = [-6.81271845], prob_sum = 0.0255, time = 0.04s
epoch:207 ==>  KL = [0.29780293], logLKH = [-6.80829841], prob_sum = 0.0255, time = 0.05s
epoch:208 ==>  KL = [0.29742768], logLKH = [-6.80304489], prob_sum = 0.0256, time = 0.05s
epoch:209 ==>  KL = [0.29710774], logLKH = [-6.79856573], prob_sum = 0.0257, time = 0.04s
epoch:210 ==>  KL = [0.29680732], logLKH = [-6.79435979], prob_sum = 0.0257, time = 0.04s
epoch:211 ==>  KL = [0.29657135], logLKH = [-6.79105626], prob_sum = 0.0257, time = 0.04s
epoch:212 ==>  KL = [0.29620476], logLKH = [-6.78592401], prob_sum = 0.0258, time = 0.05s
epoch:213 ==>  KL = [0.29583281], logLKH = [-6.78071662], prob_sum = 0.0258, time = 0.04s
epoch:214 ==>  KL = [0.2954834], logLKH = [-6.77582497], prob_sum = 0.0259, time = 0.04s
epoch:215 ==>  KL = [0.29518831], logLKH = [-6.77169366], prob_sum = 0.0260, time = 0.04s
epoch:216 ==>  KL = [0.29502585], logLKH = [-6.76941918], prob_sum = 0.0260, time = 0.04s
epoch:217 ==>  KL = [0.29480624], logLKH = [-6.76634468], prob_sum = 0.0261, time = 0.05s
epoch:218 ==>  KL = [0.2945925], logLKH = [-6.76335232], prob_sum = 0.0261, time = 0.05s
epoch:219 ==>  KL = [0.29425054], logLKH = [-6.75856486], prob_sum = 0.0262, time = 0.04s
epoch:220 ==>  KL = [0.29397116], logLKH = [-6.7546535], prob_sum = 0.0263, time = 0.04s
epoch:221 ==>  KL = [0.29364571], logLKH = [-6.75009726], prob_sum = 0.0264, time = 0.04s
epoch:222 ==>  KL = [0.29342152], logLKH = [-6.74695864], prob_sum = 0.0264, time = 0.05s
epoch:223 ==>  KL = [0.29320346], logLKH = [-6.74390579], prob_sum = 0.0265, time = 0.05s
epoch:224 ==>  KL = [0.29288678], logLKH = [-6.73947223], prob_sum = 0.0265, time = 0.04s
epoch:225 ==>  KL = [0.29264961], logLKH = [-6.73615192], prob_sum = 0.0266, time = 0.04s
epoch:226 ==>  KL = [0.29233266], logLKH = [-6.73171461], prob_sum = 0.0267, time = 0.04s
epoch:227 ==>  KL = [0.29197988], logLKH = [-6.72677569], prob_sum = 0.0268, time = 0.05s
epoch:228 ==>  KL = [0.29174298], logLKH = [-6.72345907], prob_sum = 0.0268, time = 0.05s
epoch:229 ==>  KL = [0.29137069], logLKH = [-6.71824696], prob_sum = 0.0269, time = 0.04s
epoch:230 ==>  KL = [0.2911316], logLKH = [-6.71489975], prob_sum = 0.0269, time = 0.04s
epoch:231 ==>  KL = [0.29093515], logLKH = [-6.71214937], prob_sum = 0.0269, time = 0.04s
epoch:232 ==>  KL = [0.29068602], logLKH = [-6.70866168], prob_sum = 0.0270, time = 0.05s
epoch:233 ==>  KL = [0.29052947], logLKH = [-6.70646996], prob_sum = 0.0270, time = 0.05s
