epoch:11300 ==>  KL = [0.0269769], logLKH = [-3.01673392], prob_sum = 0.7126, time = 0.04s
epoch:11400 ==>  KL = [0.02652619], logLKH = [-3.01042403], prob_sum = 0.7165, time = 0.04s
epoch:11500 ==>  KL = [0.02621622], logLKH = [-3.00608439], prob_sum = 0.7192, time = 0.04s
epoch:11600 ==>  KL = [0.02539945], logLKH = [-2.99464967], prob_sum = 0.7218, time = 0.04s
epoch:11700 ==>  KL = [0.02528131], logLKH = [-2.99299571], prob_sum = 0.7253, time = 0.04s
epoch:11800 ==>  KL = [0.0318702], logLKH = [-3.08524008], prob_sum = 0.7339, time = 0.04s
epoch:11900 ==>  KL = [0.02901902], logLKH = [-3.04532365], prob_sum = 0.7355, time = 0.04s
epoch:12000 ==>  KL = [0.02592657], logLKH = [-3.00202936], prob_sum = 0.7363, time = 0.04s
epoch:12100 ==>  KL = [0.0253919], logLKH = [-2.99454397], prob_sum = 0.7388, time = 0.04s
epoch:12200 ==>  KL = [0.0237038], logLKH = [-2.97091059], prob_sum = 0.7400, time = 0.04s
epoch:12300 ==>  KL = [0.02333701], logLKH = [-2.96577544], prob_sum = 0.7433, time = 0.04s
epoch:12400 ==>  KL = [0.02410392], logLKH = [-2.97651219], prob_sum = 0.7468, time = 0.04s
epoch:12500 ==>  KL = [0.02332925], logLKH = [-2.96566686], prob_sum = 0.7486, time = 0.04s
epoch:12600 ==>  KL = [0.02435759], logLKH = [-2.98006366], prob_sum = 0.7527, time = 0.04s
epoch:12700 ==>  KL = [0.02265337], logLKH = [-2.95620455], prob_sum = 0.7536, time = 0.04s
epoch:12800 ==>  KL = [0.02328063], logLKH = [-2.96498621], prob_sum = 0.7564, time = 0.04s
epoch:12900 ==>  KL = [0.02306724], logLKH = [-2.96199867], prob_sum = 0.7590, time = 0.04s
epoch:13000 ==>  KL = [0.02277438], logLKH = [-2.95789866], prob_sum = 0.7612, time = 0.04s
epoch:13100 ==>  KL = [0.02324339], logLKH = [-2.96446478], prob_sum = 0.7636, time = 0.04s
epoch:13200 ==>  KL = [0.02481977], logLKH = [-2.98653413], prob_sum = 0.7668, time = 0.04s
epoch:13300 ==>  KL = [0.02663605], logLKH = [-3.01196197], prob_sum = 0.7697, time = 0.04s
epoch:13400 ==>  KL = [0.02522124], logLKH = [-2.99215469], prob_sum = 0.7713, time = 0.04s
epoch:13500 ==>  KL = [0.02590225], logLKH = [-3.00168876], prob_sum = 0.7741, time = 0.04s
epoch:13600 ==>  KL = [0.02443217], logLKH = [-2.98110774], prob_sum = 0.7759, time = 0.04s
epoch:13700 ==>  KL = [0.02461861], logLKH = [-2.9837179], prob_sum = 0.7789, time = 0.04s
epoch:13800 ==>  KL = [0.0239551], logLKH = [-2.97442874], prob_sum = 0.7818, time = 0.04s
epoch:13900 ==>  KL = [0.0234637], logLKH = [-2.96754911], prob_sum = 0.7843, time = 0.04s
epoch:14000 ==>  KL = [0.02187794], logLKH = [-2.94534854], prob_sum = 0.7859, time = 0.04s
epoch:14100 ==>  KL = [0.02048376], logLKH = [-2.92583003], prob_sum = 0.7874, time = 0.04s
epoch:14200 ==>  KL = [0.02027258], logLKH = [-2.92287344], prob_sum = 0.7891, time = 0.04s
epoch:14300 ==>  KL = [0.02028595], logLKH = [-2.92306058], prob_sum = 0.7914, time = 0.04s
epoch:14400 ==>  KL = [0.02166533], logLKH = [-2.94237197], prob_sum = 0.7941, time = 0.04s
epoch:14500 ==>  KL = [0.01912847], logLKH = [-2.90685585], prob_sum = 0.7952, time = 0.04s
epoch:14600 ==>  KL = [0.01922422], logLKH = [-2.90819635], prob_sum = 0.7972, time = 0.04s
epoch:14700 ==>  KL = [0.01867963], logLKH = [-2.90057219], prob_sum = 0.7988, time = 0.04s
epoch:14800 ==>  KL = [0.01876941], logLKH = [-2.90182903], prob_sum = 0.8010, time = 0.04s
epoch:14900 ==>  KL = [0.01872709], logLKH = [-2.90123666], prob_sum = 0.8029, time = 0.04s
