epoch:17700 ==>  KL = [0.16011319], logLKH = [-4.88064202], prob_sum = 0.8649, time = 0.06s
epoch:17800 ==>  KL = [0.16028662], logLKH = [-4.88307006], prob_sum = 0.8672, time = 0.06s
epoch:17900 ==>  KL = [0.15854686], logLKH = [-4.85871332], prob_sum = 0.8664, time = 0.06s
epoch:18000 ==>  KL = [0.15686465], logLKH = [-4.83516245], prob_sum = 0.8657, time = 0.06s
epoch:18100 ==>  KL = [0.15675535], logLKH = [-4.83363229], prob_sum = 0.8665, time = 0.06s
epoch:18200 ==>  KL = [0.15626093], logLKH = [-4.8267104], prob_sum = 0.8675, time = 0.06s
epoch:18300 ==>  KL = [0.15622007], logLKH = [-4.82613832], prob_sum = 0.8696, time = 0.06s
epoch:18400 ==>  KL = [0.15644239], logLKH = [-4.82925073], prob_sum = 0.8714, time = 0.06s
epoch:18500 ==>  KL = [0.15568778], logLKH = [-4.81868631], prob_sum = 0.8718, time = 0.06s
epoch:18600 ==>  KL = [0.15459198], logLKH = [-4.80334499], prob_sum = 0.8716, time = 0.06s
epoch:18700 ==>  KL = [0.15403821], logLKH = [-4.79559231], prob_sum = 0.8722, time = 0.06s
epoch:18800 ==>  KL = [0.15359978], logLKH = [-4.78945419], prob_sum = 0.8729, time = 0.06s
epoch:18900 ==>  KL = [0.15519365], logLKH = [-4.81176837], prob_sum = 0.8759, time = 0.06s
epoch:19000 ==>  KL = [0.15520129], logLKH = [-4.8118754], prob_sum = 0.8771, time = 0.06s
epoch:19100 ==>  KL = [0.15484426], logLKH = [-4.806877], prob_sum = 0.8778, time = 0.06s
epoch:19200 ==>  KL = [0.15372554], logLKH = [-4.79121483], prob_sum = 0.8774, time = 0.06s
epoch:19300 ==>  KL = [0.15310272], logLKH = [-4.7824954], prob_sum = 0.8783, time = 0.06s
epoch:19400 ==>  KL = [0.15316509], logLKH = [-4.78336859], prob_sum = 0.8799, time = 0.06s
epoch:19500 ==>  KL = [0.15308015], logLKH = [-4.78217937], prob_sum = 0.8808, time = 0.06s
epoch:19600 ==>  KL = [0.15263567], logLKH = [-4.77595671], prob_sum = 0.8815, time = 0.06s
epoch:19700 ==>  KL = [0.15346602], logLKH = [-4.78758166], prob_sum = 0.8837, time = 0.06s
epoch:19800 ==>  KL = [0.15384796], logLKH = [-4.79292872], prob_sum = 0.8858, time = 0.06s
epoch:19900 ==>  KL = [0.15487291], logLKH = [-4.80727808], prob_sum = 0.8886, time = 0.06s
epoch:20000 ==>  KL = [0.15476395], logLKH = [-4.80575257], prob_sum = 0.8895, time = 0.06s
epoch:20100 ==>  KL = [0.15450462], logLKH = [-4.802122], prob_sum = 0.8899, time = 0.06s
epoch:20200 ==>  KL = [0.15401953], logLKH = [-4.79533069], prob_sum = 0.8903, time = 0.06s
epoch:20300 ==>  KL = [0.1532663], logLKH = [-4.78478549], prob_sum = 0.8901, time = 0.06s
epoch:20400 ==>  KL = [0.15383058], logLKH = [-4.7926854], prob_sum = 0.8912, time = 0.06s
epoch:20500 ==>  KL = [0.15451477], logLKH = [-4.80226415], prob_sum = 0.8929, time = 0.06s
epoch:20600 ==>  KL = [0.15439654], logLKH = [-4.80060891], prob_sum = 0.8938, time = 0.06s
epoch:20700 ==>  KL = [0.15395112], logLKH = [-4.79437298], prob_sum = 0.8946, time = 0.06s
epoch:20800 ==>  KL = [0.1529996], logLKH = [-4.78105167], prob_sum = 0.8945, time = 0.06s
epoch:20900 ==>  KL = [0.15217667], logLKH = [-4.76953075], prob_sum = 0.8948, time = 0.06s
epoch:21000 ==>  KL = [0.15214158], logLKH = [-4.76903948], prob_sum = 0.8954, time = 0.06s
epoch:21100 ==>  KL = [0.15097766], logLKH = [-4.75274457], prob_sum = 0.8951, time = 0.06s
epoch:21200 ==>  KL = [0.15076083], logLKH = [-4.74970889], prob_sum = 0.8958, time = 0.06s
epoch:21300 ==>  KL = [0.15111783], logLKH = [-4.75470692], prob_sum = 0.8973, time = 0.06s
epoch:21400 ==>  KL = [0.15230842], logLKH = [-4.77137527], prob_sum = 0.8993, time = 0.06s
epoch:21500 ==>  KL = [0.15250294], logLKH = [-4.77409853], prob_sum = 0.8999, time = 0.06s
epoch:21600 ==>  KL = [0.1517289], logLKH = [-4.7632619], prob_sum = 0.9002, time = 0.06s
epoch:21700 ==>  KL = [0.1515168], logLKH = [-4.76029253], prob_sum = 0.9007, time = 0.06s
epoch:21800 ==>  KL = [0.15135374], logLKH = [-4.75800972], prob_sum = 0.9012, time = 0.06s
epoch:21900 ==>  KL = [0.15109338], logLKH = [-4.75436458], prob_sum = 0.9019, time = 0.06s
epoch:22000 ==>  KL = [0.15061846], logLKH = [-4.74771575], prob_sum = 0.9030, time = 0.06s
epoch:22100 ==>  KL = [0.15017543], logLKH = [-4.74151334], prob_sum = 0.9030, time = 0.06s
epoch:22200 ==>  KL = [0.14921027], logLKH = [-4.72800112], prob_sum = 0.9033, time = 0.06s
epoch:22300 ==>  KL = [0.15006362], logLKH = [-4.73994795], prob_sum = 0.9049, time = 0.06s
epoch:22400 ==>  KL = [0.14964712], logLKH = [-4.73411702], prob_sum = 0.9057, time = 0.06s
epoch:22500 ==>  KL = [0.14946769], logLKH = [-4.73160497], prob_sum = 0.9062, time = 0.06s
epoch:22600 ==>  KL = [0.14889176], logLKH = [-4.72354197], prob_sum = 0.9064, time = 0.06s
epoch:22700 ==>  KL = [0.14802443], logLKH = [-4.71139941], prob_sum = 0.9064, time = 0.06s
epoch:22800 ==>  KL = [0.14897122], logLKH = [-4.72465435], prob_sum = 0.9078, time = 0.06s
epoch:22900 ==>  KL = [0.14819171], logLKH = [-4.71374133], prob_sum = 0.9089, time = 0.06s
epoch:23000 ==>  KL = [0.14779103], logLKH = [-4.70813168], prob_sum = 0.9090, time = 0.06s
epoch:23100 ==>  KL = [0.1467016], logLKH = [-4.69287975], prob_sum = 0.9092, time = 0.06s
epoch:23200 ==>  KL = [0.14707126], logLKH = [-4.69805495], prob_sum = 0.9103, time = 0.06s
epoch:23300 ==>  KL = [0.14694896], logLKH = [-4.69634276], prob_sum = 0.9108, time = 0.06s
epoch:23400 ==>  KL = [0.1469521], logLKH = [-4.69638668], prob_sum = 0.9116, time = 0.06s
epoch:23500 ==>  KL = [0.14747946], logLKH = [-4.70376972], prob_sum = 0.9129, time = 0.06s
epoch:23600 ==>  KL = [0.14719137], logLKH = [-4.69973654], prob_sum = 0.9133, time = 0.06s
epoch:23700 ==>  KL = [0.14694764], logLKH = [-4.69632434], prob_sum = 0.9138, time = 0.06s
epoch:23800 ==>  KL = [0.14703314], logLKH = [-4.69752131], prob_sum = 0.9149, time = 0.06s
epoch:23900 ==>  KL = [0.14790662], logLKH = [-4.70974998], prob_sum = 0.9162, time = 0.06s
epoch:24000 ==>  KL = [0.14682208], logLKH = [-4.69456641], prob_sum = 0.9166, time = 0.06s
epoch:24100 ==>  KL = [0.1469966], logLKH = [-4.69700977], prob_sum = 0.9172, time = 0.06s
epoch:24200 ==>  KL = [0.14677736], logLKH = [-4.69394043], prob_sum = 0.9176, time = 0.06s
epoch:24300 ==>  KL = [0.14703899], logLKH = [-4.69760319], prob_sum = 0.9182, time = 0.06s
epoch:24400 ==>  KL = [0.14660472], logLKH = [-4.69152337], prob_sum = 0.9188, time = 0.06s
epoch:24500 ==>  KL = [0.14656885], logLKH = [-4.69102119], prob_sum = 0.9193, time = 0.06s
epoch:24600 ==>  KL = [0.14687447], logLKH = [-4.69529996], prob_sum = 0.9197, time = 0.06s
epoch:24700 ==>  KL = [0.14741352], logLKH = [-4.70284667], prob_sum = 0.9205, time = 0.06s
epoch:24800 ==>  KL = [0.14792967], logLKH = [-4.71007268], prob_sum = 0.9211, time = 0.06s
epoch:24900 ==>  KL = [0.14721747], logLKH = [-4.7001019], prob_sum = 0.9212, time = 0.06s
epoch:25000 ==>  KL = [0.14786459], logLKH = [-4.70916157], prob_sum = 0.9221, time = 0.06s
epoch:25100 ==>  KL = [0.14844527], logLKH = [-4.71729108], prob_sum = 0.9230, time = 0.06s
epoch:25200 ==>  KL = [0.14767919], logLKH = [-4.70656596], prob_sum = 0.9228, time = 0.06s
epoch:25300 ==>  KL = [0.14790132], logLKH = [-4.70967584], prob_sum = 0.9234, time = 0.06s
epoch:25400 ==>  KL = [0.14801001], logLKH = [-4.71119747], prob_sum = 0.9240, time = 0.06s
epoch:25500 ==>  KL = [0.14708911], logLKH = [-4.6983049], prob_sum = 0.9244, time = 0.06s
epoch:25600 ==>  KL = [0.14692989], logLKH = [-4.69607573], prob_sum = 0.9250, time = 0.06s
epoch:25700 ==>  KL = [0.14664933], logLKH = [-4.69214796], prob_sum = 0.9252, time = 0.06s
epoch:25800 ==>  KL = [0.14818741], logLKH = [-4.71368109], prob_sum = 0.9271, time = 0.06s
